    0.01    0.02    0.03    0.04    0.05    0.06    0.07    0.08    0.09    0.10
    0.11    0.12    0.13    0.14    0.15    0.16    0.17    0.18    0.19    0.20
    0.21    0.22    0.23    0.24    0.25    0.26    0.27    0.28    0.29    0.30
    0.31    0.32    0.33    0.34    0.35    0.36    0.37    0.38    0.39    0.40
    0.41    0.42    0.43    0.44    0.45    0.46    0.47    0.48    0.49    0.50
    0.51    0.52    0.53    0.54    0.55    0.56    0.57    0.58    0.59    0.60
    0.61    0.62    0.63    0.64    0.65    0.66    0.67    0.68    0.69    0.70
    0.71    0.72    0.73    0.74    0.75    0.76    0.77    0.78    0.79    0.80
    0.81    0.82    0.83    0.84    0.85    0.86    0.87    0.88    0.89    0.90
    0.91    0.92    0.93    0.94    0.95    0.96    0.97    0.98    0.99    1.00
    1.01    1.02    1.03    1.04    1.05    1.06    1.07    1.08    1.09    1.10
    1.11    1.12    1.13    1.14    1.15    1.16    1.17    1.18    1.19    1.20
    1.21    1.22    1.23    1.24    1.25    1.26    1.27    1.28    1.29    1.30
    1.31    1.32    1.33    1.34    1.35    1.36    1.37    1.38    1.39    1.40
    1.41    1.42    1.43    1.44    1.45    1.46    1.47    1.48    1.49    1.50
    1.51    1.52    1.53    1.54    1.55    1.56    1.57    1.58    1.59    1.60
    1.61    1.62    1.63    1.64    1.65    1.66    1.67    1.68    1.69    1.70
    1.71    1.72    1.73    1.74    1.75    1.76    1.77    1.78    1.79    1.80
    1.81    1.82    1.83    1.84    1.85    1.86    1.87    1.88    1.89    1.90
    1.91    1.92    1.93    1.94    1.95    1.96    1.97    1.98    1.99    2.00
    2.02    2.04    2.06    2.08    2.10    2.12    2.14    2.16    2.18    2.20
    2.22    2.24    2.26    2.28    2.30    2.32    2.34    2.36    2.38    2.40
    2.42    2.44    2.46    2.48    2.50    2.52    2.54    2.56    2.58    2.60
    2.62    2.64    2.66    2.68    2.70    2.72    2.74    2.76    2.78    2.80
    2.82    2.84    2.86    2.88    2.90    2.92    2.94    2.96    2.98    3.00
    3.02    3.04    3.06    3.08    3.10    3.12    3.14    3.16    3.18    3.20
    3.22    3.24    3.26    3.28    3.30    3.32    3.34    3.36    3.38    3.40
    3.42    3.44    3.46    3.48    3.50    3.52    3.54    3.56    3.58    3.60
    3.62    3.64    3.66    3.68    3.70    3.72    3.74    3.76    3.78    3.80
    3.82    3.84    3.86    3.88    3.90    3.92    3.94    3.96    3.98    4.00
    4.02    4.04    4.06    4.08    4.10    4.12    4.14    4.16    4.18    4.20
    4.22    4.24    4.26    4.28    4.30    4.32    4.34    4.36    4.38    4.40
    4.42    4.44    4.46    4.48    4.50    4.52    4.54    4.56    4.58    4.60
    4.62    4.64    4.66    4.68    4.70    4.72    4.74    4.76    4.78    4.80
    4.82    4.84    4.86    4.88    4.90    4.92    4.94    4.96    4.98    5.00
    5.02    5.04    5.06    5.08    5.10    5.12    5.14    5.16    5.18    5.20
    5.22    5.24    5.26    5.28    5.30    5.32    5.34    5.36    5.38    5.40
    5.42    5.44    5.46    5.48    5.50    5.52    5.54    5.56    5.58    5.60
    5.62    5.64    5.66    5.68    5.70    5.72    5.74    5.76    5.78    5.80
    5.82    5.84    5.86    5.88    5.90    5.92    5.94    5.96    5.98    6.00
    6.02    6.04    6.06    6.08    6.10    6.12    6.14    6.16    6.18    6.20
    6.22    6.24    6.26    6.28    6.30    6.32    6.34    6.36    6.38    6.40
    6.42    6.44    6.46    6.48    6.50    6.52    6.54    6.56    6.58    6.60
    6.62    6.64    6.66    6.68    6.70    6.72    6.74    6.76    6.78    6.80
    6.82    6.84    6.86    6.88    6.90    6.92    6.94    6.96    6.98    7.00
    7.02    7.04    7.06    7.08    7.10    7.12    7.14    7.16    7.18    7.20
    7.22    7.24    7.26    7.28    7.30    7.32    7.34    7.36    7.38    7.40
    7.42    7.44    7.46    7.48    7.50    7.52    7.54    7.56    7.58    7.60
    7.62    7.64    7.66    7.68    7.70    7.72    7.74    7.76    7.78    7.80
    7.82    7.84    7.86    7.88    7.90    7.92    7.94    7.96    7.98    8.00
    8.02    8.04    8.06    8.08    8.10    8.12    8.14    8.16    8.18    8.20
    8.22    8.24    8.26    8.28    8.30    8.32    8.34    8.36    8.38    8.40
    8.42    8.44    8.46    8.48    8.50    8.52    8.54    8.56    8.58    8.60
    8.62    8.64    8.66    8.68    8.70    8.72    8.74    8.76    8.78    8.80
    8.82    8.84    8.86    8.88    8.90    8.92    8.94    8.96    8.98    9.00
    9.02    9.04    9.06    9.08    9.10    9.12    9.14    9.16    9.18    9.20
